Language,dev_Lemmas,dev_UPOS,dev_UAS,dev_LAS,dev_CLAS,dev_MLAS,dev_BLEX
Chinese,0.0010024057738572004,0.20694533762057882,1.3379870129870133,1.7035256410256412,2.067484662576687,3.042867182009838,2.072847682119205
English,0.08151317270884946,0.14484548242510026,0.3850922051758871,0.4977539737387698,0.6499508357915438,1.0119140119140122,0.7954132606721162
Greek,0.19252683185371672,0.14112996977447106,0.8112006788290198,0.9206896551724137,1.5452451464297463,3.4749340369393145,2.2402263374485596
Hebrew,0.12495481383299199,0.19828641370869035,1.4167200512491993,1.7247569184741962,2.879061371841155,8.906422018348623,3.524980174464711
Indonesian,0.049679841024508724,0.12937062937062943,0.570384995064166,0.6909553550774925,0.8706779199564388,1.130935754189944,0.951730418943534
Japanese,0.025131995776135115,0.06665940529354106,0.24801338352153898,0.2757916241062309,0.37559081701552993,0.6132231404958678,0.4073873873873874
Korean,0.058997050147492625,0.06312182179969056,0.15424334701443143,0.18724425003527578,0.21849727981179237,0.25524913820119083,0.27293064876957496
Persian,0.05870067055073105,0.08621654909864519,0.3199821322215606,0.42249089102351767,0.5508837209302325,0.83955938697318,0.6516007532956687
Russian,0.31442928930366104,0.21476426799007448,0.7864393016646367,1.043876567020251,1.344623200677392,3.500636942675159,2.0927573062261753
Turkish,0.2903371462974113,0.12236131566028471,0.19438065649061192,0.43527168732125826,0.6639945029775541,1.1294117647058821,1.1863839285714288
Vietnamese,0.010910574079739038,0.10301204819277104,0.3985576010628203,0.5206235011990406,0.6192907039226224,0.7152956298200515,0.635665294924554
