,Language,Step,Task,Accuracy,Tokens,Accuracy (normalized),N
475,el,0,dev_BLEX,19.4424,0,0.0,0
433,el,30,dev_BLEX,24.016,1M,0.105,1
377,el,300,dev_BLEX,57.0153,10M,0.8628,2
160,el,3050,dev_BLEX,61.1698,100M,0.9582,3
90,el,31250,dev_BLEX,62.992,1B,1.0,4
473,el,0,dev_CLAS,30.3936,0,0.0,0
431,el,30,dev_CLAS,35.3681,1M,0.1054,1
375,el,300,dev_CLAS,74.2347,10M,0.9286,2
158,el,3050,dev_CLAS,77.6057,100M,1.0,3
88,el,31250,dev_CLAS,77.3506,1B,0.9946,4
472,el,0,dev_LAS,43.5028,0,0.0,0
430,el,30,dev_LAS,48.5301,1M,0.125,1
374,el,300,dev_LAS,81.2123,10M,0.9378,2
157,el,3050,dev_LAS,83.7116,100M,1.0,3
87,el,31250,dev_LAS,83.5488,1B,0.996,4
469,el,0,dev_Lemmas,75.4668,0,0.0,0
427,el,30,dev_Lemmas,76.817,1M,0.0929,1
371,el,300,dev_Lemmas,87.0823,10M,0.7991,2
154,el,3050,dev_Lemmas,88.5761,100M,0.9018,3
84,el,31250,dev_Lemmas,90.0029,1B,1.0,4
474,el,0,dev_MLAS,15.1603,0,0.0,0
432,el,30,dev_MLAS,19.2602,1M,0.0778,1
376,el,300,dev_MLAS,59.5117,10M,0.8419,2
159,el,3050,dev_MLAS,66.9825,100M,0.9837,3
89,el,31250,dev_MLAS,67.8389,1B,1.0,4
471,el,0,dev_UAS,47.1416,0,0.0,0
429,el,30,dev_UAS,52.2264,1M,0.1311,1
373,el,300,dev_UAS,83.9605,10M,0.9496,2
156,el,3050,dev_UAS,85.914,100M,1.0,3
86,el,31250,dev_UAS,85.3778,1B,0.9862,4
470,el,0,dev_UPOS,86.0193,0,0.0,0
428,el,30,dev_UPOS,87.5898,1M,0.1293,1
372,el,300,dev_UPOS,96.6006,10M,0.8715,2
155,el,3050,dev_UPOS,97.5486,100M,0.9495,3
85,el,31250,dev_UPOS,98.1614,1B,1.0,4
510,en,0,dev_BLEX,44.0351,0,0.0,0
405,en,30,dev_BLEX,47.8602,1M,0.1092,1
335,en,300,dev_BLEX,68.3022,10M,0.6926,2
97,en,3050,dev_BLEX,75.8426,100M,0.9078,3
41,en,31250,dev_BLEX,79.072,1B,1.0,4
508,en,0,dev_CLAS,50.8544,0,0.0,0
403,en,30,dev_CLAS,54.601,1M,0.1134,1
333,en,300,dev_CLAS,73.8987,10M,0.6973,2
95,en,3050,dev_CLAS,80.671,100M,0.9023,3
39,en,31250,dev_CLAS,83.9003,1B,1.0,4
507,en,0,dev_LAS,57.8843,0,0.0,0
402,en,30,dev_LAS,61.1588,1M,0.1137,1
332,en,300,dev_LAS,78.8619,10M,0.7281,2
94,en,3050,dev_LAS,84.1842,100M,0.9129,3
38,en,31250,dev_LAS,86.6943,1B,1.0,4
504,en,0,dev_Lemmas,88.8176,0,0.0,0
399,en,30,dev_Lemmas,89.5725,1M,0.1043,1
329,en,300,dev_Lemmas,94.4229,10M,0.7744,2
91,en,3050,dev_Lemmas,95.7913,100M,0.9635,3
35,en,31250,dev_Lemmas,96.0555,1B,1.0,4
509,en,0,dev_MLAS,38.6111,0,0.0,0
404,en,30,dev_MLAS,42.0756,1M,0.0887,1
334,en,300,dev_MLAS,64.8691,10M,0.6722,2
96,en,3050,dev_MLAS,73.9614,100M,0.9049,3
40,en,31250,dev_MLAS,77.6768,1B,1.0,4
506,en,0,dev_UAS,64.5277,0,0.0,0
401,en,30,dev_UAS,67.6701,1M,0.1264,1
331,en,300,dev_UAS,82.9952,10M,0.743,2
93,en,3050,dev_UAS,87.119,100M,0.9089,3
37,en,31250,dev_UAS,89.3838,1B,1.0,4
505,en,0,dev_UPOS,84.7787,0,0.0,0
400,en,30,dev_UPOS,85.7507,1M,0.0792,1
330,en,300,dev_UPOS,94.0644,10M,0.7563,2
92,en,3050,dev_UPOS,96.7915,100M,0.9785,3
36,en,31250,dev_UPOS,97.0558,1B,1.0,4
503,fa,0,dev_BLEX,47.7925,0,0.0,0
447,fa,30,dev_BLEX,49.2205,1M,0.0459,1
370,fa,300,dev_BLEX,68.9932,10M,0.6809,2
146,fa,3050,dev_BLEX,76.6574,100M,0.927,3
83,fa,31250,dev_BLEX,78.9305,1B,1.0,4
501,fa,0,dev_CLAS,53.752,0,0.0,0
445,fa,30,dev_CLAS,54.7428,1M,0.0335,1
368,fa,300,dev_CLAS,74.4427,10M,0.6988,2
144,fa,3050,dev_CLAS,81.4804,100M,0.9365,3
81,fa,31250,dev_CLAS,83.36,1B,1.0,4
500,fa,0,dev_LAS,60.3847,0,0.0,0
444,fa,30,dev_LAS,61.9119,1M,0.0599,1
367,fa,300,dev_LAS,78.9384,10M,0.7275,2
143,fa,3050,dev_LAS,84.2085,100M,0.9342,3
80,fa,31250,dev_LAS,85.8867,1B,1.0,4
497,fa,0,dev_Lemmas,90.9682,0,0.0,0
441,fa,30,dev_Lemmas,91.6282,1M,0.1235,1
364,fa,300,dev_Lemmas,94.6356,10M,0.6861,2
140,fa,3050,dev_Lemmas,95.9932,100M,0.94,3
77,fa,31250,dev_Lemmas,96.3138,1B,1.0,4
502,fa,0,dev_MLAS,41.7602,0,0.0,0
446,fa,30,dev_MLAS,43.7855,1M,0.0578,1
369,fa,300,dev_MLAS,66.3995,10M,0.7028,2
145,fa,3050,dev_MLAS,74.2824,100M,0.9277,3
82,fa,31250,dev_MLAS,76.8177,1B,1.0,4
499,fa,0,dev_UAS,67.1632,0,0.0,0
443,fa,30,dev_UAS,68.3511,1M,0.0553,1
366,fa,300,dev_UAS,83.3035,10M,0.7512,2
142,fa,3050,dev_UAS,87.4423,100M,0.9438,3
79,fa,31250,dev_UAS,88.649,1B,1.0,4
498,fa,0,dev_UPOS,89.3089,0,0.0,0
442,fa,30,dev_UPOS,90.1857,1M,0.1138,1
365,fa,300,dev_UPOS,95.4181,10M,0.7931,2
141,fa,3050,dev_UPOS,96.6437,100M,0.9523,3
78,fa,31250,dev_UPOS,97.0114,1B,1.0,4
538,he,0,dev_BLEX,12.6149,0,0.0,0
461,he,30,dev_BLEX,14.411,1M,0.0404,1
398,he,300,dev_BLEX,51.65,10M,0.8783,2
202,he,3050,dev_BLEX,56.2239,100M,0.9812,3
153,he,31250,dev_BLEX,57.0593,1B,1.0,4
536,he,0,dev_CLAS,16.6249,0,0.0,0
459,he,30,dev_CLAS,18.9014,1M,0.0476,1
396,he,300,dev_CLAS,60.7561,10M,0.9223,2
200,he,3050,dev_CLAS,64.3275,100M,0.9969,3
151,he,31250,dev_CLAS,64.4737,1B,1.0,4
535,he,0,dev_LAS,26.7372,0,0.0,0
458,he,30,dev_LAS,30.4447,1M,0.0804,1
395,he,300,dev_LAS,69.851,10M,0.9347,2
199,he,3050,dev_LAS,72.3644,100M,0.9892,3
150,he,31250,dev_LAS,72.8648,1B,1.0,4
532,he,0,dev_Lemmas,82.9865,0,0.0033,0
455,he,30,dev_Lemmas,82.9523,1M,0.0,1
392,he,300,dev_Lemmas,90.8905,10M,0.7628,2
196,he,3050,dev_Lemmas,92.6078,100M,0.9279,3
147,he,31250,dev_Lemmas,93.3584,1B,1.0,4
537,he,0,dev_MLAS,5.4511,0,0.0,0
460,he,30,dev_MLAS,7.2891,1M,0.0379,1
397,he,300,dev_MLAS,48.2247,10M,0.8812,2
201,he,3050,dev_MLAS,52.381,100M,0.9669,3
